Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  90.59  -9999.    302.23    56.11     -9.12      6.16        458.7    967.03    292.63    14.74     325.94     11.00 1  -9999.  -9999.   -76.8688    39.0515  -9999.  -9999.  -9999.
  91.59  -9999.    302.20    56.29     -9.13      6.05        463.5    966.58    292.66    14.77     326.48     10.96 1  -9999.  -9999.   -76.8688    39.0514  -9999.  -9999.  -9999.
  92.59  -9999.    302.18    56.33     -9.17      5.94        468.2    966.12    292.65    14.77     327.07     10.92 1  -9999.  -9999.   -76.8687    39.0513  -9999.  -9999.  -9999.
  93.59  -9999.    302.17    56.25     -9.21      5.82        472.0    965.67    292.62    14.75     327.70     10.90 1  -9999.  -9999.   -76.8686    39.0512  -9999.  -9999.  -9999.
  94.59  -9999.    302.15    56.17     -9.26      5.71        476.2    965.23    292.57    14.71     328.35     10.88 1  -9999.  -9999.   -76.8686    39.0511  -9999.  -9999.  -9999.
  95.59  -9999.    302.13    56.16     -9.33      5.60        480.7    964.78    292.55    14.70     329.02     10.88 1  -9999.  -9999.   -76.8685    39.0511  -9999.  -9999.  -9999.
  96.59  -9999.    302.11    56.20     -9.40      5.49        484.3    964.34    292.54    14.70     329.71     10.88 1  -9999.  -9999.   -76.8685    39.0510  -9999.  -9999.  -9999.
  97.59  -9999.    302.08    56.21     -9.48      5.39        488.0    963.89    292.52    14.68     330.39     10.90 1  -9999.  -9999.   -76.8684    39.0509  -9999.  -9999.  -9999.
  98.59  -9999.    302.06    56.21     -9.56      5.29        492.0    963.44    292.50    14.68     331.05     10.92 1  -9999.  -9999.   -76.8684    39.0509  -9999.  -9999.  -9999.
  99.59  -9999.    302.04    56.28     -9.65      5.19        494.6    962.97    292.50    14.68     331.70     10.96 1  -9999.  -9999.   -76.8683    39.0508  -9999.  -9999.  -9999.
 100.59  -9999.    302.02    56.38     -9.73      5.11        500.4    962.48    292.51    14.70     332.32     10.99 1  -9999.  -9999.   -76.8683    39.0507  -9999.  -9999.  -9999.
 101.59  -9999.    301.99    56.39     -9.82      5.03        505.9    961.99    292.49    14.68     332.90     11.03 1  -9999.  -9999.   -76.8682    39.0506  -9999.  -9999.  -9999.
 102.59  -9999.    301.95    56.25     -9.90      4.95        511.4    961.49    292.41    14.62     333.44     11.07 1  -9999.  -9999.   -76.8682    39.0506  -9999.  -9999.  -9999.
 103.59  -9999.    301.94    56.05     -9.98      4.88        516.7    961.00    292.34    14.56     333.94     11.11 1  -9999.  -9999.   -76.8681    39.0505  -9999.  -9999.  -9999.
